name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run
ttHTobb_M125_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8_v2,/ttHTobb_M125_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v2/MINIAODSIM,3872944,0.563117319566,0.2953,0.000135401459157,,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2016
ttHToNonbb_M125_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8_v2,/ttHToNonbb_M125_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v2/MINIAODSIM,3981250,0.563292128109,0.2118,9.44436632465E-05,,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2016
TT_TuneCUETP8M2T4_13TeV-powheg-pythia8,/TT_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,76915549,1,831.76,0.0108139382844,,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2016
TTToSemilepton_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8_v2,/TTToSemilepton_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v2/MINIAODSIM,152669800,1,365.46,0.0023937936645,,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2016
ST_s-channel_4f_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1,/ST_s-channel_4f_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,1000000,3.3732961353,3.7,0.00109685003972,,94X_mc2017_realistic_v17,FALSE,aMC,NONE,2016
ST_t-channel_top_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1,/ST_t-channel_top_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,67105876,1,136.02,0.0020269461947,,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2016
ST_t-channel_antitop_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1,/ST_t-channel_antitop_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,38811017,1,80.95,0.00208574797203,,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2016
ST_tW_antitop_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1,/ST_tW_antitop_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3_ext1-v1/MINIAODSIM,6933094,1,35.85,0.00517085157074,,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2016
ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1,/ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3_ext1-v1/MINIAODSIM,6952830,1,35.85,0.00515617381699,,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2016
ST_tW_antitop_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1,/ST_tW_antitop_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3_ext1-v1/MINIAODSIM,6933094,1,35.85,0.00517085157074,,94X_mc2017_realistic_v17,FALSE,POWHEG,NONE,2016
