name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run
,,,,,,,,,,,
ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,9972000,0.527295398931,0.2953,5.61600124433E-05,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/swieland-KIT_tthbb_sl_skims_MC_94X_LEG_2016-5a690c179958756b3895a0592e36611b/USER,94X_mcRun2_asymptotic_v3,FALSE,POWHEG,NONE,2016
,,,,,,,,,,,
ttHTobb_ttToSemiLep_M125_TuneCP5_13TeV-powheg-pythia8,/ttHTobb_ttToSemiLep_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,9718300,0.237378535584,0.1297,5.62222508262E-05,/ttHTobb_ttToSemiLep_M125_TuneCP5_13TeV-powheg-pythia8/swieland-KIT_tthbb_sl_skims_MC_94X_LEG_2016-5a690c179958756b3895a0592e36611b/USER,94X_mcRun2_asymptotic_v3,FALSE,POWHEG,NONE,2016
ttHTobb_ttTo2L2Nu_M125_TuneCP5_13TeV-powheg-pythia8,/ttHTobb_ttTo2L2Nu_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,9852999,0.0568912107286,0.0313,5.58381116218E-05,/ttHTobb_ttTo2L2Nu_M125_TuneCP5_13TeV-powheg-pythia8/swieland-KIT_tthbb_sl_skims_MC_94X_LEG_2016-5a690c179958756b3895a0592e36611b/USER,94X_mcRun2_asymptotic_v3,FALSE,POWHEG,NONE,2016
ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8,/ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,9965577,0.527489728962,0.2118,4.02911347556E-05,/ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8/swieland-KIT_tthbb_sl_skims_MC_94X_LEG_2016-5a690c179958756b3895a0592e36611b/USER,94X_mcRun2_asymptotic_v3,FALSE,POWHEG,NONE,2016
,,,,,,,,,,,
TT_TuneCUETP8M2T4_13TeV-powheg-pythia8,/TT_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,76915549,1,831.76,0.0108139382844,/TT_TuneCUETP8M2T4_13TeV-powheg-pythia8/swieland-KIT_tthbb_skims_MC_94X_LEG_2016-e7ebd256f4e1376707d82db477ee913f/USER,94X_mcRun2_asymptotic_v3,FALSE,POWHEG,NONE,2016
,,,,,,,,,,,
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8,/TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,68518800,313.635950583,377.96,1.75877487953E-05,/TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8/swieland-KIT_tthbb_sl_skims_MC_94X_LEG_2016-5a690c179958756b3895a0592e36611b/USER,94X_mcRun2_asymptotic_v3,FALSE,POWHEG,NONE,2016
